username,repo_name,stars,repo_url
mrdoob,three.js,106k,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,29k,https://github.com/pmndrs/react-three-fiber
FreeCAD,FreeCAD,24.9k,https://github.com/FreeCAD/FreeCAD
BabylonJS,Babylon.js,24.2k,https://github.com/BabylonJS/Babylon.js
libgdx,libgdx,24.1k,https://github.com/libgdx/libgdx
ssloy,tinyrenderer,22k,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,18.8k,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,17.1k,https://github.com/aframevr/aframe
blender,blender,15.3k,https://github.com/blender/blender
4ian,GDevelop,14.5k,https://github.com/4ian/GDevelop
CesiumGS,cesium,13.7k,https://github.com/CesiumGS/cesium
isl-org,Open3D,12.4k,https://github.com/isl-org/Open3D
MonoGame,MonoGame,12.2k,https://github.com/MonoGame/MonoGame
DavidHDev,react-bits,11.9k,https://github.com/DavidHDev/react-bits
mapbox,mapbox-gl-js,11.6k,https://github.com/mapbox/mapbox-gl-js
metafizzy,zdog,10.5k,https://github.com/metafizzy/zdog
nerfstudio-project,nerfstudio,10.3k,https://github.com/nerfstudio-project/nerfstudio
Tencent-Hunyuan,Hunyuan3D-2,10.1k,https://github.com/Tencent-Hunyuan/Hunyuan3D-2
timzhang642,3D-Machine-Learning,10k,https://github.com/timzhang642/3D-Machine-Learning
microsoft,TRELLIS,9.6k,https://github.com/microsoft/TRELLIS
