username,repo_name,stars,repo_url
public-apis,public-apis,349k,https://github.com/public-apis/public-apis
neovim,neovim,90k,https://github.com/neovim/neovim
fastapi,fastapi,85.8k,https://github.com/fastapi/fastapi
hoppscotch,hoppscotch,72k,https://github.com/hoppscotch/hoppscotch
strapi,strapi,66.9k,https://github.com/strapi/strapi
ocornut,imgui,65.9k,https://github.com/ocornut/imgui
meilisearch,meilisearch,51.6k,https://github.com/meilisearch/meilisearch
QuivrHQ,quivr,37.9k,https://github.com/QuivrHQ/quivr
trpc,trpc,37.4k,https://github.com/trpc/trpc
ccxt,ccxt,36.7k,https://github.com/ccxt/ccxt
Kong,insomnia,36.5k,https://github.com/Kong/insomnia
slatedocs,slate,36.1k,https://github.com/slatedocs/slate
httpie,cli,35.8k,https://github.com/httpie/cli
mudler,LocalAI,33k,https://github.com/mudler/LocalAI
hasura,graphql-engine,31.6k,https://github.com/hasura/graphql-engine
directus,directus,30.8k,https://github.com/directus/directus
Binaryify,NeteaseCloudMusicApi,30.3k,https://github.com/Binaryify/NeteaseCloudMusicApi
chatanywhere,GPT_API_free,30.1k,https://github.com/chatanywhere/GPT_API_free
encode,django-rest-framework,29.2k,https://github.com/encode/django-rest-framework
YMFE,yapi,27.6k,https://github.com/YMFE/yapi
