username,repo_name,stars,repo_url
ljianshu,Blog,7.9k,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7.5k,https://github.com/metafizzy/infinite-scroll
olifolkerd,tabulator,7.2k,https://github.com/olifolkerd/tabulator
developit,unfetch,5.7k,https://github.com/developit/unfetch
jquery-form,form,5.2k,https://github.com/jquery-form/form
elbywan,wretch,5k,https://github.com/elbywan/wretch
Studio-42,elFinder,4.7k,https://github.com/Studio-42/elFinder
alovajs,alova,3.6k,https://github.com/alovajs/alova
dwyl,learn-to-send-email-via-google-script-html-no-server,3.2k,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
ded,reqwest,2.9k,https://github.com/ded/reqwest
wendux,ajax-hook,2.6k,https://github.com/wendux/ajax-hook
LeaVerou,bliss,2.4k,https://github.com/LeaVerou/bliss
noelboss,featherlight,2.1k,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1.9k,https://github.com/craftpip/jquery-confirm
k8w,tsrpc,1.8k,https://github.com/k8w/tsrpc
nette,tracy,1.8k,https://github.com/nette/tracy
loadingio,css-spinner,1.8k,https://github.com/loadingio/css-spinner
taoensso,sente,1.8k,https://github.com/taoensso/sente
codingforentrepreneurs,eCommerce,1.7k,https://github.com/codingforentrepreneurs/eCommerce
joaomilho,Enterprise,1.6k,https://github.com/joaomilho/Enterprise
