username,repo_name,stars,repo_url
jwasham,coding-interview-university,318k,https://github.com/jwasham/coding-interview-university
TheAlgorithms,Python,201k,https://github.com/TheAlgorithms/Python
trekhleb,javascript-algorithms,191k,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,180k,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,127k,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,113k,https://github.com/krahets/hello-algo
kdn251,interviews,64.2k,https://github.com/kdn251/interviews
TheAlgorithms,Java,61.8k,https://github.com/TheAlgorithms/Java
youngyangyang04,leetcode-master,56.5k,https://github.com/youngyangyang04/leetcode-master
azl397985856,leetcode,55.4k,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,47.4k,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,36.2k,https://github.com/huihut/interview
halfrost,LeetCode-Go,33.5k,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,33.2k,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,31.9k,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,30.4k,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27.1k,https://github.com/crossoverJie/JCSprout
AtsushiSakai,PythonRobotics,25.1k,https://github.com/AtsushiSakai/PythonRobotics
keon,algorithms,24.5k,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,24k,https://github.com/mxgmn/WaveFunctionCollapse
