username,repo_name,stars,repo_url
MariaDB,server,6.1k,https://github.com/MariaDB/server
eksctl-io,eksctl,5.1k,https://github.com/eksctl-io/eksctl
kananinirav,AWS-Certified-Cloud-Practitioner-Notes,2.9k,https://github.com/kananinirav/AWS-Certified-Cloud-Practitioner-Notes
widdix,aws-cf-templates,2.8k,https://github.com/widdix/aws-cf-templates
aws-samples,aws-workshop-for-kubernetes,2.7k,https://github.com/aws-samples/aws-workshop-for-kubernetes
LeanerCloud,AutoSpotting,2.4k,https://github.com/LeanerCloud/AutoSpotting
aws-amplify,aws-sdk-ios,1.7k,https://github.com/aws-amplify/aws-sdk-ios
towardsthecloud,aws-toolbox,1.6k,https://github.com/towardsthecloud/aws-toolbox
dwyl,learn-aws-lambda,1.1k,https://github.com/dwyl/learn-aws-lambda
aws-amplify,aws-sdk-android,1k,https://github.com/aws-amplify/aws-sdk-android
broamski,aws-mfa,1k,https://github.com/broamski/aws-mfa
awspring,spring-cloud-aws,973,https://github.com/awspring/spring-cloud-aws
docker-archive,compose-cli,964,https://github.com/docker-archive/compose-cli
fabfuel,ecs-deploy,883,https://github.com/fabfuel/ecs-deploy
milanm,Cloud-Product-Mapping,841,https://github.com/milanm/Cloud-Product-Mapping
widdix,aws-ec2-ssh,829,https://github.com/widdix/aws-ec2-ssh
awslabs,amazon-ecs-nodejs-microservices,681,https://github.com/awslabs/amazon-ecs-nodejs-microservices
upgundecha,howtheyaws,677,https://github.com/upgundecha/howtheyaws
ptcodes,awesome-aws-certifications,650,https://github.com/ptcodes/awesome-aws-certifications
amazon-archives,aws-lambda-zombie-workshop,617,https://github.com/amazon-archives/aws-lambda-zombie-workshop
