username,repo_name,stars,repo_url
milligram,milligram,10.2k,https://github.com/milligram/milligram
ampproject,amp-wp,1.8k,https://github.com/ampproject/amp-wp
AlexHex7,Non-local_pytorch,1.6k,https://github.com/AlexHex7/Non-local_pytorch
wprig,wprig,1.3k,https://github.com/wprig/wprig
EmbeddedRPC,erpc,851,https://github.com/EmbeddedRPC/erpc
GoogleForCreators,web-stories-wp,773,https://github.com/GoogleForCreators/web-stories-wp
ampproject,amp-by-example,750,https://github.com/ampproject/amp-by-example
DeepVAC,deepvac,679,https://github.com/DeepVAC/deepvac
xtrime-ru,TelegramApiServer,609,https://github.com/xtrime-ru/TelegramApiServer
Azure,MS-AMP,603,https://github.com/Azure/MS-AMP
ampproject,amp-toolbox,452,https://github.com/ampproject/amp-toolbox
iheartradio,ficus,328,https://github.com/iheartradio/ficus
juusaw,amp-jekyll,282,https://github.com/juusaw/amp-jekyll
Codeinwp,neve,280,https://github.com/Codeinwp/neve
nxp-mcuxpresso,rpmsg-lite,260,https://github.com/nxp-mcuxpresso/rpmsg-lite
NVlabs,STEP,251,https://github.com/NVlabs/STEP
nuxt-community,amp-module,206,https://github.com/nuxt-community/amp-module
tuntorius,mightier_amp,204,https://github.com/tuntorius/mightier_amp
da2x,amp2html,189,https://github.com/da2x/amp2html
Alfresco,alfresco-sdk,187,https://github.com/Alfresco/alfresco-sdk
