username,repo_name,stars,repo_url
flutter,flutter,171k,https://github.com/flutter/flutter
Genymobile,scrcpy,123k,https://github.com/Genymobile/scrcpy
facebook,react-native,122k,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,114k,https://github.com/justjavac/free-programming-books-zh_CN
Hack-with-Github,Awesome-Hacking,93.2k,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,56k,https://github.com/Solido/awesome-flutter
tldr-pages,tldr,55.8k,https://github.com/tldr-pages/tldr
wasabeef,awesome-android-ui,52.7k,https://github.com/wasabeef/awesome-android-ui
google,material-design-icons,51.6k,https://github.com/google/material-design-icons
appwrite,appwrite,50.8k,https://github.com/appwrite/appwrite
laurent22,joplin,49.5k,https://github.com/laurent22/joplin
square,okhttp,46.4k,https://github.com/square/okhttp
android,architecture-samples,45.1k,https://github.com/android/architecture-samples
skylot,jadx,44.2k,https://github.com/skylot/jadx
square,retrofit,43.5k,https://github.com/square/retrofit
termux,termux-app,42k,https://github.com/termux/termux-app
2dust,v2rayNG,41.3k,https://github.com/2dust/v2rayNG
dcloudio,uni-app,40.8k,https://github.com/dcloudio/uni-app
expo,expo,40.7k,https://github.com/expo/expo
KRTirtho,spotube,40.5k,https://github.com/KRTirtho/spotube
