username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,114k,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,98k,https://github.com/angular/angular
storybookjs,storybook,86.8k,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,65.2k,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,51.8k,https://github.com/ionic-team/ionic-framework
prettier,prettier,50.5k,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,44.4k,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,35.7k,https://github.com/SheetJS/sheetjs
wailsapp,wails,28.5k,https://github.com/wailsapp/wails
paperless-ngx,paperless-ngx,27.8k,https://github.com/paperless-ngx/paperless-ngx
angular,angular-cli,26.9k,https://github.com/angular/angular-cli
nrwl,nx,25.9k,https://github.com/nrwl/nx
sudheerj,javascript-interview-questions,25.7k,https://github.com/sudheerj/javascript-interview-questions
NativeScript,NativeScript,24.8k,https://github.com/NativeScript/NativeScript
angular,components,24.7k,https://github.com/angular/components
goldbergyoni,javascript-testing-best-practices,24.4k,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,22.4k,https://github.com/pubkey/rxdb
jhipster,generator-jhipster,21.9k,https://github.com/jhipster/generator-jhipster
jasontaylordev,CleanArchitecture,18.3k,https://github.com/jasontaylordev/CleanArchitecture
teambit,bit,18.1k,https://github.com/teambit/bit
