username,repo_name,stars,repo_url
bregman-arie,devops-exercises,76.3k,https://github.com/bregman-arie/devops-exercises
ansible,ansible,65.2k,https://github.com/ansible/ansible
trailofbits,algo,29.4k,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,28k,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23.3k,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,17.1k,https://github.com/kubernetes-sigs/kubespray
ansible,awx,14.6k,https://github.com/ansible/awx
semaphoreui,semaphore,11.9k,https://github.com/semaphoreui/semaphore
easzlab,kubeasz,10.9k,https://github.com/easzlab/kubeasz
netbootxyz,netboot.xyz,10.3k,https://github.com/netbootxyz/netboot.xyz
geerlingguy,ansible-for-devops,9.1k,https://github.com/geerlingguy/ansible-for-devops
Tikam02,DevOps-Guide,8.7k,https://github.com/Tikam02/DevOps-Guide
khuedoan,homelab,8.6k,https://github.com/khuedoan/homelab
geerlingguy,mac-dev-playbook,6.5k,https://github.com/geerlingguy/mac-dev-playbook
Orange-Cyberdefense,GOAD,6.4k,https://github.com/Orange-Cyberdefense/GOAD
rundeck,rundeck,5.8k,https://github.com/rundeck/rundeck
ChristianLempa,boilerplates,5.6k,https://github.com/ChristianLempa/boilerplates
KubeOperator,KubeOperator,5k,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4.8k,https://github.com/clong/DetectionLab
dev-sec,ansible-collection-hardening,4.4k,https://github.com/dev-sec/ansible-collection-hardening
