username,repo_name,stars,repo_url
jaywcjlove,awesome-mac,83.5k,https://github.com/jaywcjlove/awesome-mac
cloudcommunity,Free-Certifications,33.5k,https://github.com/cloudcommunity/Free-Certifications
ziadoz,awesome-php,31.6k,https://github.com/ziadoz/awesome-php
sdras,awesome-actions,26.2k,https://github.com/sdras/awesome-actions
matteocrippa,awesome-swift,25.4k,https://github.com/matteocrippa/awesome-swift
The-Art-of-Hacking,h4cker,21.3k,https://github.com/The-Art-of-Hacking/h4cker
HqWu-HITCS,Awesome-Chinese-LLM,20.2k,https://github.com/HqWu-HITCS/Awesome-Chinese-LLM
iCHAIT,awesome-macOS,16.8k,https://github.com/iCHAIT/awesome-macOS
rShetty,awesome-podcasts,12.5k,https://github.com/rShetty/awesome-podcasts
k4m4,terminals-are-sexy,12.5k,https://github.com/k4m4/terminals-are-sexy
edoardottt,awesome-hacker-search-engines,8.8k,https://github.com/edoardottt/awesome-hacker-search-engines
mendel5,alternative-front-ends,7.9k,https://github.com/mendel5/alternative-front-ends
nichtdax,awesome-totally-open-chatgpt,4.6k,https://github.com/nichtdax/awesome-totally-open-chatgpt
hyprland-community,awesome-hyprland,3.6k,https://github.com/hyprland-community/awesome-hyprland
gdcmarinho,awesome-project,3.1k,https://github.com/gdcmarinho/awesome-project
guanguans,favorite-link,3k,https://github.com/guanguans/favorite-link
gamontal,awesome-katas,3k,https://github.com/gamontal/awesome-katas
mjebrahimi,Awesome-Microservices-DotNet,2.9k,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
V33RU,IoTSecurity101,2.9k,https://github.com/V33RU/IoTSecurity101
huyingjie,Checklist-Checklist,2.9k,https://github.com/huyingjie/Checklist-Checklist
