username,repo_name,stars,repo_url
microsoft,generative-ai-for-beginners,84.6k,https://github.com/microsoft/generative-ai-for-beginners
bregman-arie,devops-exercises,76.3k,https://github.com/bregman-arie/devops-exercises
danny-avila,LibreChat,26.2k,https://github.com/danny-avila/LibreChat
pulumi,pulumi,23.2k,https://github.com/pulumi/pulumi
getsops,sops,18.6k,https://github.com/getsops/sops
milanm,DevOps-Roadmap,16k,https://github.com/milanm/DevOps-Roadmap
ramitsurana,awesome-kubernetes,15.5k,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,14.4k,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,14.1k,https://github.com/caprover/caprover
prowler-cloud,prowler,11.7k,https://github.com/prowler-cloud/prowler
infracost,infracost,11.5k,https://github.com/infracost/infracost
budtmo,docker-android,10.9k,https://github.com/budtmo/docker-android
google,go-cloud,9.7k,https://github.com/google/go-cloud
microsoft,computervision-recipes,9.7k,https://github.com/microsoft/computervision-recipes
Netflix,metaflow,8.9k,https://github.com/Netflix/metaflow
YSGStudyHards,DotNetGuide,8.5k,https://github.com/YSGStudyHards/DotNetGuide
microsoft,azuredatastudio,7.7k,https://github.com/microsoft/azuredatastudio
bridgecrewio,checkov,7.6k,https://github.com/bridgecrewio/checkov
midwayjs,midway,7.6k,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,7.4k,https://github.com/thangchung/clean-code-dotnet
