username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,156k,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,84.9k,https://github.com/nvm-sh/nvm
junegunn,fzf,70.6k,https://github.com/junegunn/fzf
starship,starship,49.1k,https://github.com/starship/starship
google,zx,44.2k,https://github.com/google/zx
acmesh-official,acme.sh,42.9k,https://github.com/acmesh-official/acme.sh
LeCoupa,awesome-cheatsheets,42.7k,https://github.com/LeCoupa/awesome-cheatsheets
dylanaraps,pure-bash-bible,39k,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,37.5k,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,34.4k,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,33.4k,https://github.com/jaywcjlove/linux-command
mathiasbynens,dotfiles,30.8k,https://github.com/mathiasbynens/dotfiles
ajeetdsouza,zoxide,26.9k,https://github.com/ajeetdsouza/zoxide
kingToolbox,WindTerm,26.5k,https://github.com/kingToolbox/WindTerm
withfig,autocomplete,24.9k,https://github.com/withfig/autocomplete
atuinsh,atuin,24.1k,https://github.com/atuinsh/atuin
asdf-vm,asdf,23.6k,https://github.com/asdf-vm/asdf
warpdotdev,Warp,23.6k,https://github.com/warpdotdev/Warp
dylanaraps,neofetch,22.9k,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,19.8k,https://github.com/Nyr/openvpn-install
