username,repo_name,stars,repo_url
ccxt,ccxt,36.7k,https://github.com/ccxt/ccxt
feder-cr,Jobs_Applier_AI_Agent_AIHawk,28.2k,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
python-telegram-bot,python-telegram-bot,27.6k,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,26k,https://github.com/discordjs/discord.js
wechaty,wechaty,21.6k,https://github.com/wechaty/wechaty
RasaHQ,rasa,20.2k,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,17.3k,https://github.com/InstaPy/InstaPy
pedroslopez,whatsapp-web.js,17k,https://github.com/pedroslopez/whatsapp-web.js
hubotio,hubot,16.7k,https://github.com/hubotio/hubot
leon-ai,leon,16.3k,https://github.com/leon-ai/leon
Rapptz,discord.py,15.4k,https://github.com/Rapptz/discord.py
lss233,kirara-ai,15.4k,https://github.com/lss233/kirara-ai
tgbot-collection,YYeTsBot,15.3k,https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,14.3k,https://github.com/gunthercox/ChatterBot
hummingbot,hummingbot,12.8k,https://github.com/hummingbot/hummingbot
RockChinQ,LangBot,11.6k,https://github.com/RockChinQ/LangBot
howdyai,botkit,11.6k,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,10.5k,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,10.2k,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8.8k,https://github.com/yagop/node-telegram-bot-api
