username,repo_name,stars,repo_url
Genymobile,scrcpy,123k,https://github.com/Genymobile/scrcpy
neovim,neovim,90k,https://github.com/neovim/neovim
obsproject,obs-studio,64.7k,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,64k,https://github.com/fffaraz/awesome-cpp
git,git,55k,https://github.com/git/git
FFmpeg,FFmpeg,50.3k,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,44.1k,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,38.3k,https://github.com/vim/vim
curl,curl,38k,https://github.com/curl/curl
huihut,interview,36.2k,https://github.com/huihut/interview
mpv-player,mpv,30.9k,https://github.com/mpv-player/mpv
kovidgoyal,kitty,27.6k,https://github.com/kovidgoyal/kitty
ossrs,srs,27k,https://github.com/ossrs/srs
raysan5,raylib,26.6k,https://github.com/raysan5/raylib
ggreer,the_silver_searcher,26.6k,https://github.com/ggreer/the_silver_searcher
microsoft,vcpkg,24.9k,https://github.com/microsoft/vcpkg
google,flatbuffers,24.3k,https://github.com/google/flatbuffers
forthespada,CS-Books,22.8k,https://github.com/forthespada/CS-Books
hashcat,hashcat,22.8k,https://github.com/hashcat/hashcat
ruby,ruby,22.7k,https://github.com/ruby/ruby
