username,repo_name,stars,repo_url
jaywcjlove,linux-command,33.4k,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,28.3k,https://github.com/refined-github/refined-github
openai-translator,openai-translator,24.5k,https://github.com/openai-translator/openai-translator
darkreader,darkreader,20.8k,https://github.com/darkreader/darkreader
dailydotdev,daily,19.4k,https://github.com/dailydotdev/daily
gildas-lormeau,SingleFile,18.3k,https://github.com/gildas-lormeau/SingleFile
AutomaApp,automa,18.2k,https://github.com/AutomaApp/automa
immersive-translate,immersive-translate,15.6k,https://github.com/immersive-translate/immersive-translate
checkly,headless-recorder,15.1k,https://github.com/checkly/headless-recorder
alyssaxuu,screenity,14.6k,https://github.com/alyssaxuu/screenity
unbug,codelf,14.2k,https://github.com/unbug/codelf
wong2,chatgpt-google-extension,13.2k,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,13.1k,https://github.com/Anarios/return-youtube-dislike
xifangczy,cat-catch,13.1k,https://github.com/xifangczy/cat-catch
crimx,ext-saladict,12.6k,https://github.com/crimx/ext-saladict
PlasmoHQ,plasmo,11.8k,https://github.com/PlasmoHQ/plasmo
listen1,listen1_chrome_extension,11.7k,https://github.com/listen1/listen1_chrome_extension
ajayyy,SponsorBlock,11.4k,https://github.com/ajayyy/SponsorBlock
ChatGPTBox-dev,chatGPTBox,10.6k,https://github.com/ChatGPTBox-dev/chatGPTBox
chathub-dev,chathub,10.3k,https://github.com/chathub-dev/chathub
