username,repo_name,stars,repo_url
electron,electron,117k,https://github.com/electron/electron
puppeteer,puppeteer,90.8k,https://github.com/puppeteer/puppeteer
microsoft,playwright,73.1k,https://github.com/microsoft/playwright
FiloSottile,mkcert,53.8k,https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,33.4k,https://github.com/jaywcjlove/linux-command
feder-cr,Jobs_Applier_AI_Agent_AIHawk,28.2k,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
ovity,octotree,23k,https://github.com/ovity/octotree
segment-boneyard,nightmare,19.6k,https://github.com/segment-boneyard/nightmare
gildas-lormeau,SingleFile,18.3k,https://github.com/gildas-lormeau/SingleFile
GoogleChrome,chrome-extensions-samples,16.5k,https://github.com/GoogleChrome/chrome-extensions-samples
checkly,headless-recorder,15.1k,https://github.com/checkly/headless-recorder
google,WebFundamentals,13.9k,https://github.com/google/WebFundamentals
schickling,chromeless,13.2k,https://github.com/schickling/chromeless
xifangczy,cat-catch,13.1k,https://github.com/xifangczy/cat-catch
MetaMask,metamask-extension,12.6k,https://github.com/MetaMask/metamask-extension
crimx,ext-saladict,12.6k,https://github.com/crimx/ext-saladict
moonD4rk,HackBrowserData,12.4k,https://github.com/moonD4rk/HackBrowserData
casesandberg,react-color,12.2k,https://github.com/casesandberg/react-color
chromedp,chromedp,11.9k,https://github.com/chromedp/chromedp
ajayyy,SponsorBlock,11.4k,https://github.com/ajayyy/SponsorBlock
