username,repo_name,stars,repo_url
ovity,octotree,23k,https://github.com/ovity/octotree
gitpod-io,gitpod,13.3k,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,8.4k,https://github.com/reviewdog/reviewdog
qodo-ai,pr-agent,8k,https://github.com/qodo-ai/pr-agent
danger,danger,5.5k,https://github.com/danger/danger
danger,danger-js,5.4k,https://github.com/danger/danger-js
joho,awesome-code-review,4.6k,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2.5k,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2.4k,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,2.2k,https://github.com/crev-dev/cargo-crev
mattzcarey,shippie,2.2k,https://github.com/mattzcarey/shippie
mbj,mutant,2k,https://github.com/mbj/mutant
houndci,hound,2k,https://github.com/houndci/hound
coderabbitai,ai-pr-reviewer,1.8k,https://github.com/coderabbitai/ai-pr-reviewer
Tencent,CodeAnalysis,1.8k,https://github.com/Tencent/CodeAnalysis
reviewboard,reviewboard,1.6k,https://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1.5k,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1.3k,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1.3k,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,977,https://github.com/jiangsir404/Audit-Learning
