username,repo_name,stars,repo_url
gitui-org,gitui,19.7k,https://github.com/gitui-org/gitui
o2sh,onefetch,11k,https://github.com/o2sh/onefetch
kellyjonbrazil,jc,8.2k,https://github.com/kellyjonbrazil/jc
fujiapple852,trippy,4.6k,https://github.com/fujiapple852/trippy
shobrook,rebound,4.1k,https://github.com/shobrook/rebound
babarot,enhancd,2.6k,https://github.com/babarot/enhancd
p-gen,smenu,2.4k,https://github.com/p-gen/smenu
reactopt,reactopt,2k,https://github.com/reactopt/reactopt
CITGuru,PyInquirer,2k,https://github.com/CITGuru/PyInquirer
npkgz,cli-progress,1.2k,https://github.com/npkgz/cli-progress
mcknly,breadboard-os,570,https://github.com/mcknly/breadboard-os
AmmarAbouZor,tui-journal,538,https://github.com/AmmarAbouZor/tui-journal
kellyjonbrazil,jello,509,https://github.com/kellyjonbrazil/jello
sveinbjornt,hear,473,https://github.com/sveinbjornt/hear
kmilo17pet,QuarkTS,328,https://github.com/kmilo17pet/QuarkTS
hugovk,em-keyboard,324,https://github.com/hugovk/em-keyboard
mocks-server,main,302,https://github.com/mocks-server/main
comonicon,Comonicon.jl,286,https://github.com/comonicon/Comonicon.jl
mrusme,zeit,283,https://github.com/mrusme/zeit
OSSPhilippines,covid19-tracker-cli,278,https://github.com/OSSPhilippines/covid19-tracker-cli
