username,repo_name,stars,repo_url
localstack,localstack,59.2k,https://github.com/localstack/localstack
harness,harness,32.8k,https://github.com/harness/harness
jenkinsci,jenkins,24k,https://github.com/jenkinsci/jenkins
milanm,DevOps-Roadmap,16k,https://github.com/milanm/DevOps-Roadmap
auchenberg,volkswagen,15.1k,https://github.com/auchenberg/volkswagen
dagger,dagger,13.8k,https://github.com/dagger/dagger
openshift,origin,8.5k,https://github.com/openshift/origin
concourse,concourse,7.6k,https://github.com/concourse/concourse
gocd,gocd,7.2k,https://github.com/gocd/gocd
Flagsmith,flagsmith,5.7k,https://github.com/Flagsmith/flagsmith
buildbot,buildbot,5.4k,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5.2k,https://github.com/gaia-pipeline/gaia
TheLartians,ModernCppStarter,4.8k,https://github.com/TheLartians/ModernCppStarter
ovh,cds,4.7k,https://github.com/ovh/cds
jenkins-x,jx,4.6k,https://github.com/jenkins-x/jx
Strider-CD,strider,4.6k,https://github.com/Strider-CD/strider
werf,werf,4.4k,https://github.com/werf/werf
JamesIves,github-pages-deploy-action,4.4k,https://github.com/JamesIves/github-pages-deploy-action
SamKirkland,FTP-Deploy-Action,4.3k,https://github.com/SamKirkland/FTP-Deploy-Action
iterative,cml,4.1k,https://github.com/iterative/cml
