username,repo_name,stars,repo_url
bitcoin,bitcoin,83.9k,https://github.com/bitcoin/bitcoin
freqtrade,freqtrade,39.5k,https://github.com/freqtrade/freqtrade
ccxt,ccxt,36.7k,https://github.com/ccxt/ccxt
dogecoin,dogecoin,15k,https://github.com/dogecoin/dogecoin
hummingbot,hummingbot,12.8k,https://github.com/hummingbot/hummingbot
monero-project,monero,9.5k,https://github.com/monero-project/monero
xmrig,xmrig,9.2k,https://github.com/xmrig/xmrig
StockSharp,StockSharp,8.1k,https://github.com/StockSharp/StockSharp
dvf,blockchain,7.9k,https://github.com/dvf/blockchain
lightningnetwork,lnd,7.9k,https://github.com/lightningnetwork/lnd
firmai,financial-machine-learning,7.9k,https://github.com/firmai/financial-machine-learning
kroma-network,tachyon,7.8k,https://github.com/kroma-network/tachyon
lbryio,lbry-sdk,7.2k,https://github.com/lbryio/lbry-sdk
sammchardy,python-binance,6.7k,https://github.com/sammchardy/python-binance
cosmos,cosmos-sdk,6.6k,https://github.com/cosmos/cosmos-sdk
jesse-ai,jesse,6.4k,https://github.com/jesse-ai/jesse
tendermint,tendermint,5.8k,https://github.com/tendermint/tendermint
chrisleekr,binance-trading-bot,5.3k,https://github.com/chrisleekr/binance-trading-bot
polakowo,vectorbt,5.3k,https://github.com/polakowo/vectorbt
sea-protocol,seaprotocol,5.1k,https://github.com/sea-protocol/seaprotocol
