username,repo_name,stars,repo_url
crystal-lang,crystal,19.8k,https://github.com/crystal-lang/crystal
kemalcr,kemal,3.7k,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3.4k,https://github.com/veelenga/awesome-crystal
luckyframework,lucky,2.6k,https://github.com/luckyframework/lucky
amberframework,amber,2.6k,https://github.com/amberframework/amber
vitobotta,hetzner-k3s,2.5k,https://github.com/vitobotta/hetzner-k3s
getmango,Mango,1.8k,https://github.com/getmango/Mango
ffwff,lilith,1.2k,https://github.com/ffwff/lilith
drujensen,fib,889,https://github.com/drujensen/fib
hanabi1224,Programming-Language-Benchmarks,720,https://github.com/hanabi1224/Programming-Language-Benchmarks
owasp-noir,noir,704,https://github.com/owasp-noir/noir
amethyst-framework,amethyst,650,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,555,https://github.com/askn/crystal-by-example
crystal-ameba,ameba,534,https://github.com/crystal-ameba/ameba
crystal-community,icr,507,https://github.com/crystal-community/icr
elbywan,crystalline,477,https://github.com/elbywan/crystalline
will,crystal-pg,467,https://github.com/will/crystal-pg
martenframework,marten,438,https://github.com/martenframework/marten
imdrasil,jennifer.cr,424,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,422,https://github.com/vim-crystal/vim-crystal
