Username,Topic_Title,Stars,Url
mrdoob,three.js,106k,"https://github.com/topics/3d
mrdoob          /
          three.js "
pmndrs,react-three-fiber,29k,"https://github.com/topics/3d
pmndrs          /
          react-three-fiber "
FreeCAD,FreeCAD,24.9k,"https://github.com/topics/3d
FreeCAD          /
          FreeCAD "
BabylonJS,Babylon.js,24.2k,"https://github.com/topics/3d
BabylonJS          /
          Babylon.js "
libgdx,libgdx,24.1k,"https://github.com/topics/3d
libgdx          /
          libgdx "
ssloy,tinyrenderer,22k,"https://github.com/topics/3d
ssloy          /
          tinyrenderer "
lettier,3d-game-shaders-for-beginners,18.8k,"https://github.com/topics/3d
lettier          /
          3d-game-shaders-for-beginners "
aframevr,aframe,17.1k,"https://github.com/topics/3d
aframevr          /
          aframe "
blender,blender,15.3k,"https://github.com/topics/3d
blender          /
          blender "
4ian,GDevelop,14.5k,"https://github.com/topics/3d
4ian          /
          GDevelop "
CesiumGS,cesium,13.7k,"https://github.com/topics/3d
CesiumGS          /
          cesium "
isl-org,Open3D,12.4k,"https://github.com/topics/3d
isl-org          /
          Open3D "
MonoGame,MonoGame,12.2k,"https://github.com/topics/3d
MonoGame          /
          MonoGame "
DavidHDev,react-bits,11.9k,"https://github.com/topics/3d
DavidHDev          /
          react-bits "
mapbox,mapbox-gl-js,11.6k,"https://github.com/topics/3d
mapbox          /
          mapbox-gl-js "
metafizzy,zdog,10.5k,"https://github.com/topics/3d
metafizzy          /
          zdog "
nerfstudio-project,nerfstudio,10.3k,"https://github.com/topics/3d
nerfstudio-project          /
          nerfstudio "
Tencent-Hunyuan,Hunyuan3D-2,10.1k,"https://github.com/topics/3d
Tencent-Hunyuan          /
          Hunyuan3D-2 "
timzhang642,3D-Machine-Learning,10k,"https://github.com/topics/3d
timzhang642          /
          3D-Machine-Learning "
microsoft,TRELLIS,9.6k,"https://github.com/topics/3d
microsoft          /
          TRELLIS "
