Title,Description,Url
3D,"
          3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.
        ","
3D

          3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.
        
"
Ajax,"
          Ajax is a technique for creating interactive web applications.
        ","
Ajax

          Ajax is a technique for creating interactive web applications.
        
"
Algorithm,"
          Algorithms are self-contained sequences that carry out a variety of tasks.
        ","
Algorithm

          Algorithms are self-contained sequences that carry out a variety of tasks.
        
"
Amp,"
          Amp is a non-blocking concurrency library for PHP.
        ","
Amp

          Amp is a non-blocking concurrency library for PHP.
        
"
Android,"
          Android is an operating system built by Google designed for mobile devices.
        ","
Android

          Android is an operating system built by Google designed for mobile devices.
        
"
Angular,"
          Angular is an open source web application platform.
        ","
Angular

          Angular is an open source web application platform.
        
"
Ansible,"
          Ansible is a simple and powerful automation engine.
        ","
Ansible

          Ansible is a simple and powerful automation engine.
        
"
API,"
          An API (Application Programming Interface) is a collection of protocols and subroutines for building software.
        ","
API

          An API (Application Programming Interface) is a collection of protocols and subroutines for building software.
        
"
Arduino,"
          Arduino is an open source platform for building electronic devices.
        ","
Arduino

          Arduino is an open source platform for building electronic devices.
        
"
ASP.NET,"
          ASP.NET is a web framework for building modern web apps and services.
        ","
ASP.NET

          ASP.NET is a web framework for building modern web apps and services.
        
"
Awesome Lists,"
          An awesome list is a list of awesome things curated by the community.
        ","
Awesome Lists

          An awesome list is a list of awesome things curated by the community.
        
"
Amazon Web Services,"
          Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.
        ","
Amazon Web Services

          Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.
        
"
Azure,"
          Azure is a cloud computing service created by Microsoft.
        ","
Azure

          Azure is a cloud computing service created by Microsoft.
        
"
Babel,"
          Babel is a compiler for writing next generation JavaScript, today.
        ","
Babel

          Babel is a compiler for writing next generation JavaScript, today.
        
"
Bash,"
          Bash is a shell and command language interpreter for the GNU operating system.
        ","
Bash

          Bash is a shell and command language interpreter for the GNU operating system.
        
"
Bitcoin,"
          Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.
        ","
Bitcoin

          Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.
        
"
Bootstrap,"
          Bootstrap is an HTML, CSS, and JavaScript framework.
        ","
Bootstrap

          Bootstrap is an HTML, CSS, and JavaScript framework.
        
"
Bot,"
          A bot is an application that runs automated tasks over the Internet.
        ","
Bot

          A bot is an application that runs automated tasks over the Internet.
        
"
C,"
          C is a general purpose programming language that first appeared in 1972.
        ","
C

          C is a general purpose programming language that first appeared in 1972.
        
"
Chrome,"
          Chrome is a web browser from the tech company Google.
        ","
Chrome

          Chrome is a web browser from the tech company Google.
        
"
Chrome extension,"
          Chrome extensions enable users to customize the Chrome browsing experience.
        ","
Chrome extension

          Chrome extensions enable users to customize the Chrome browsing experience.
        
"
Command-line interface,"
          A CLI, or command-line interface, is a console that helps users issue commands to a program.
        ","
Command-line interface

          A CLI, or command-line interface, is a console that helps users issue commands to a program.
        
"
Clojure,"
          Clojure is a dynamic, general-purpose programming language.
        ","
Clojure

          Clojure is a dynamic, general-purpose programming language.
        
"
Code quality,"
          Automate your code review with style, quality, security, and test‑coverage checks when you need them.
        ","
Code quality

          Automate your code review with style, quality, security, and test‑coverage checks when you need them.
        
"
Code review,"
          Ensure your code meets quality standards and ship with confidence.
        ","
Code review

          Ensure your code meets quality standards and ship with confidence.
        
"
Compiler,"
          Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).
        ","
Compiler

          Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).
        
"
Continuous integration,"
          Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.
        ","
Continuous integration

          Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.
        
"
C++,"
          C++ is a general purpose and object-oriented programming language.
        ","
C++

          C++ is a general purpose and object-oriented programming language.
        
"
Cryptocurrency,"
          A cryptocurrency is a digital currency that uses cryptography.
        ","
Cryptocurrency

          A cryptocurrency is a digital currency that uses cryptography.
        
"
Crystal,"
          Crystal is a self-hosted, general purpose programming language.
        ","
Crystal

          Crystal is a self-hosted, general purpose programming language.
        
"
